# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalHeapBytesReclaimed,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPagesReclaimed,1758902059843000000,1758902072364000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1758902059843000000,1758902072364000000,41959424
FilePageCache.uncachedFileAccess,1758902059843000000,1758902072364000000,235
FilePageCacheLockFree.totalBytesRequested,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1758902059843000000,1758902072364000000,0
DirectByteBufferAllocator.disposed,1758902059843000000,1758902072364000000,229
FilePageCacheLockFree.heapBytesInUse,1758902059843000000,1758902072364000000,0
FilePageCache.pageLoads,1758902059843000000,1758902072364000000,274
FileChannelInterruptsRetryer.totalRetriedAttempts,1758902059843000000,1758902072364000000,0
FilePageCache.disposedBuffers,1758902059843000000,1758902072364000000,274
FilePageCacheLockFree.housekeeperTurnsDone,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1758902059843000000,1758902072364000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1758902059843000000,1758902072364000000,41959424
StorageLockContext.competingThreads.avg,1758902059843000000,1758902072364000000,0.0
FilePageCache.maxCacheSizeInBytes,1758902059843000000,1758902072364000000,282083328
FilePageCache.maxRegisteredFiles,1758902059843000000,1758902072364000000,535
DirectByteBufferAllocator.misses,1758902059843000000,1758902072364000000,271
FilePageCacheLockFree.nativeBytesInUse,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPagesRequested,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalBytesWritten,1758902059843000000,1758902072364000000,0
FilePageCache.capacityInBytes,1758902059843000000,1758902072364000000,503316478
FilePageCache.pageFastCacheHits,1758902059843000000,1758902072364000000,23719
DirectByteBufferAllocator.reclaimed,1758902059843000000,1758902072364000000,45
FilePageCache.pageHits,1758902059843000000,1758902072364000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalBytesRead,1758902059843000000,1758902072364000000,0
FilePageCache.totalPageDisposalsUs,1758902059843000000,1758902072364000000,361
FilePageCacheLockFree.totalPagesAllocated,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPagesReadMs,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPagesHandedOver,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPagesWriteMs,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.totalPagesWritten,1758902059843000000,1758902072364000000,0
DirectByteBufferAllocator.hits,1758902059843000000,1758902072364000000,3
StorageLockContext.competingThreads.max,1758902059843000000,1758902072364000000,0
FilePageCache.totalPageLoadsUs,1758902059843000000,1758902072364000000,93285
StorageLockContext.competingThreads.90P,1758902059843000000,1758902072364000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1758902059843000000,1758902072364000000,0
workspaceModel.collect.changes.ms,1758902059843000000,1758902072364000000,0
workspaceModel.cachedValue.from.cache.count,1758902059843000000,1758902072364000000,104
workspaceModel.on.changed.ms,1758902059843000000,1758902072364000000,15
workspaceModel.cachedValue.calculated.count,1758902059843000000,1758902072364000000,14
workspaceModel.cachedValueWithParameters.clear.count,1758902059843000000,1758902072364000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1758902059843000000,1758902072364000000,0
workspaceModel.to.snapshot.ms,1758902059843000000,1758902072364000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1758902059843000000,1758902072364000000,0
workspaceModel.init.bridges.ms,1758902059843000000,1758902072364000000,1
workspaceModel.updates.ms,1758902059843000000,1758902072364000000,32
workspaceModel.updates.count,1758902059843000000,1758902072364000000,3
workspaceModel.full.replace.project.model.ms,1758902059843000000,1758902072364000000,1
workspaceModel.update.unloaded.entities.ms,1758902059843000000,1758902072364000000,0
workspaceModel.on.before.changed.ms,1758902059843000000,1758902072364000000,11
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1758902059843000000,1758902072364000000,0
workspaceModel.pre.handlers.ms,1758902059843000000,1758902072364000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1758902059843000000,1758902072364000000,16
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1758902059843000000,1758902072364000000,0
workspaceModel.cachedValue.total.get.count,1758902059843000000,1758902072364000000,118
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1758902059843000000,1758902072364000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1758902059843000000,1758902072364000000,0
workspaceModel.replace.project.model.ms,1758902059843000000,1758902072364000000,0
workspaceModel.cachedValue.clear.count,1758902059843000000,1758902072364000000,2
workspaceModel.cachedValueWithParameters.total.get.count,1758902059843000000,1758902072364000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1758902059843000000,1758902072364000000,68
workspaceModel.initializing.ms,1758902059843000000,1758902072364000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1758902059843000000,1758902072364000000,0
workspaceModel.updates.precise.ms,1758902059843000000,1758902072364000000,4
workspaceModel.cachedValueWithParameters.calculated.count,1758902059843000000,1758902072364000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1758902059843000000,1758902072364000000,6
workspaceModel.loading.from.cache.ms,1758902059843000000,1758902072364000000,60
workspaceModel.workspaceFileIndexData.init.ms,1758902059843000000,1758902072364000000,4
workspaceModel.workspaceFileIndexData.instances.count,1758902059843000000,1758902072364000000,1
workspaceModel.check.recursive.update.ms,1758902059843000000,1758902072364000000,0
workspaceModel.loading.total.ms,1758902059843000000,1758902072364000000,63
workspaceModel.workspaceFileIndexData.getPackageName.ms,1758902059843000000,1758902072364000000,0
Indexing.cache.totalCacheEvicted,1758902059843000000,1758902072364000000,8394
Indexing.writer_1.totalTimeSpentWritingMs,1758902059843000000,1758902072364000000,43
Indexes.stubs.lookupDurationMaxMs,1758902059843000000,1758902072364000000,0.0
Indexes.stubs.lookupDurationAvgMs,1758902059843000000,1758902072364000000,0.0
